Index,Company Name,Symbol,Price,Sector,Industry,NAICS,Beta,PE,EPS
121,Astorius Resources Ltd.,ASQ,,,,,,,
122,Astron Connect Inc.,AST,,,,,,,
123,ATAC Resources Ltd.,ATC,,,,,,,
124,ATEX Resources Inc.,ATX,,,,,,,
125,Athabasca Minerals Inc,ABM,,,,,,,
126,ATI Airtest Technologies Inc.,AAT,,,,,,,
127,Atico Mining Corporation,ATY,,,,,,,
128,Atlantic Gold Corporation,AGB,,,,,,,
129,Atlas Engineered Products Ltd.,AEP,,,,,,,
130,Aton Resources Inc.,AAN,,,,,,,
131,ATW Tech Inc.,ATW,,,,,,,
132,Aumento Capital VII Corporation,AUOC.P,,,,,,,
133,Aura Resources Inc.,AUU,,,,,,,
134,Auralite Investments Inc.,AAAA,,,,,,,
135,Auramex Resource Corp.,AUX,,,,,,,
136,Aurania Resources Ltd.,ARU,,,,,,,
137,Aurcana Corporation,AUN,,,,,,,
138,AurCrest Gold Inc.,AGO,,,,,,,
139,Aurelius Minerals Inc.,AUL,,,,,,,
140,Aurion Resources Ltd,AU,,,,,,,
141,Aurora Solar Technologies Inc.,ACU,,,,,,,
142,Aurora Spine Corporation,ASG,,,,,,,
143,Austin Resources Ltd.,AUT,,,,,,,
144,Auston Capital Corp.,ASTN.P,,,,,,,
145,Austral Gold Limited,AGLD,,,,,,,
146,Automotive Finco Corp.,AFCC,,,,,,,
147,Automotive Finco Corp. db30June2022,AFCC.DB,,,,,,,
148,Auxly Cannabis Group Inc.,XLY,,,,,,,
149,Auxly Cannabis Group Inc. wt ex 30may2020,XLY.WT,,,,,,,
150,Auxly Cannabis Group Inc wt ex 16jan2020,XLY.WT.A,,,,,,,
151,Avante Logixx Inc.,XX,,,,,,,
152,Avanti Energy Inc.,AVN,,,,,,,
153,Avidian Gold Corp.,AVG,,,,,,,
154,Avivagen Inc.,VIV,,,,,,,
155,Avricore Health Inc.,AVCR,,,,,,,
156,Avrupa Minerals Ltd,AVU,,,,,,,
157,Awale Resources Limited,ARIC,,,,,,,
158,Axion Ventures Inc.,AXV,,,,,,,
159,Axis Auto Finance Inc.,AXIS,,,,,,,
160,AXMIN Inc.,AXM,,,,,,,
161,Azarga Metals Corp.,AZR,,,,,,,
162,Azimut Exploration Inc.,AZM,,,,,,,
163,Azincourt Energy Corp.,AAZ,,,,,,,
164,Aztec Minerals Corp.,AZT,,,,,,,
165,Azucar Minerals Ltd.,AMZ,,,,,,,
166,Backstageplay Inc.,BP,,,,,,,
167,Bankers Cobalt Corp.,BANC,,,,,,,
168,Banyan Gold Corp.,BYN,,,,,,,
169,Bard Ventures Ltd.,CBS,,,,,,,
170,Barkerville Gold Mines Ltd.,BGM,,,,,,,
171,Barksdale Capital Corp.,BRO,,,,,,,
172,Baroyeca Gold & Silver Inc.,BGS,,,,,,,
173,Barrian Mining Corp.,BARI,,,,,,,
174,Barsele Minerals Corp.,BME,,,,,,,
175,Batero Gold Corp,BAT,,,,,,,
176,Battery Road Capital Corp.,BTRY.P,,,,,,,
177,Bayhorse Silver Inc.,BHS,,,,,,,
178,Bayshore Petroleum Corp,BSH,,,,,,,
179,BB1 Acquisition Corp.,BBA.P,,,,,,,
180,BCM Resources Corporation,B,,,,,,,
181,Bear Creek Mining Corporation,BCM,,,,,,,
182,Bearclaw Capital Corp.,BRL,,,,,,,
183,Bearing Lithium Corp.,BRZ,,,,,,,
184,Beauce Gold Fields Inc.,BGF,,,,,,,
185,Bee Vectoring Technologies International Inc.,BEE,,,,,,,
