Index,Company Name,Symbol,Price,Sector,Industry,NAICS,Beta,PE,EPS
566,Cda Goose Hldgs SV,GOOS,28.11,Consumer Cyclical,Manufacturing - Apparel & Accessories,Clothing Accessories and Other Clothing Manufacturing(315990),,,
567,Cdn Apartment Tr Un,CAR.UN,46.75,Real Estate,REITs,Lessors of Residential Buildings and Dwellings(531110),,,
568,Cdn Banc Corp Cl 'A',BK,6.61,Financial Services,Asset Management,Portfolio Management(523920),,,
569,Cdn Banc Corp. Pr,BK.PR.A,10.11,Financial Services,Asset Management,Portfolio Management(523920),,,
570,Cdn General 3.75% Pr,CGI.PR.D,24.62,Financial Services,Asset Management,Portfolio Management(523920),,,
571,Cdn High Incm Eq Un,CIQ.UN,5.79,Financial Services,Asset Management,Portfolio Management(523920),,,
572,Cdn Imp Bk Ser 39 Pr,CM.PR.O,13.39,Financial Services,Banks,Commercial Banking(522110),,,
573,Cdn Imp Bk Ser 41 Pr,CM.PR.P,14.19,Financial Services,Banks,Commercial Banking(522110),,,
574,Cdn Imp Bk Ser 43 Pr,CM.PR.Q,14.2,Financial Services,Banks,Commercial Banking(522110),,,
575,Cdn Imp Bk Ser 45 Pr,CM.PR.R,17.56,Financial Services,Banks,Commercial Banking(522110),,,
576,Cdn Imp Bk Ser 47 Pr,CM.PR.S,15.0,Financial Services,Banks,Commercial Banking(522110),,,
577,Cdn Imp Bk Ser 49 Pr,CM.PR.T,19.35,Financial Services,Banks,Commercial Banking(522110),,,
578,Cdn Imp Bk Ser 51 Pr,CM.PR.Y,20.73,Financial Services,Banks,Commercial Banking(522110),,,
579,Cdn Imperial Bank,CM,90.95,Financial Services,Banks,Commercial Banking(522110),,,
580,Cdn Life Co Split A,LFE,1.63,Financial Services,Asset Management,Portfolio Management(523920),,,
581,Cdn Life CoSplt Pr12,LFE.PR.B,9.1,Financial Services,Asset Management,Portfolio Management(523920),,,
582,Cdn Nat'l Railway,CNR,117.65,Industrials,Transportation,Line-Haul Railroads(482111),,,
583,Cdn Pacific Railway,CP,338.99,Industrials,Transportation,Line-Haul Railroads(482111),,,
584,Cdn Util & Tel FndUn,UTE.UN,,nan,nan,nan,,,
585,Cdn Util 2nd Pr AA,CU.PR.D,22.63,Utilities,Utilities - Regulated,Electric Power Distribution(221122),,,
586,Cdn Util 2nd Pr BB,CU.PR.E,22.65,Utilities,Utilities - Regulated,Electric Power Distribution(221122),,,
587,Cdn Util 2nd Pr CC,CU.PR.F,21.3,Utilities,Utilities - Regulated,Electric Power Distribution(221122),,,
588,Cdn Util 2nd Pr DD,CU.PR.G,21.33,Utilities,Utilities - Regulated,Electric Power Distribution(221122),,,
589,Cdn Util 2nd Pr EE,CU.PR.H,24.15,Utilities,Utilities - Regulated,Electric Power Distribution(221122),,,
590,Cdn Util 2nd Pr FF,CU.PR.I,24.7,Utilities,Utilities - Regulated,Electric Power Distribution(221122),,,
591,Cdn Util 2nd Pr Y,CU.PR.C,15.57,Utilities,Utilities - Regulated,Electric Power Distribution(221122),,,
592,Cdn Utilities A NV,CU,32.52,Utilities,Utilities - Regulated,Electric Power Distribution(221122),,,
593,Cdn Utilities Cl B,CU.X,32.49,Utilities,Utilities - Regulated,Electric Power Distribution(221122),,,
594,Cdn Wstrn Bank,CWB,23.59,Financial Services,Banks,Commercial Banking(522110),,,
595,Cdn Wstrn Bk Sr 5 Pr,CWB.PR.B,12.7,Financial Services,Banks,Commercial Banking(522110),,,
596,Cdn Wstrn Bk Sr 7 Pr,CWB.PR.C,20.98,Financial Services,Banks,Commercial Banking(522110),,,
597,Cdn Wstrn Bk Sr 9 Pr,CWB.PR.D,20.91,Financial Services,Banks,Commercial Banking(522110),,,
598,Celestica Inc SV,CLS,9.37,Technology,Hardware,Electronic Computer Manufacturing(334111),,,
599,Cenovus Energy Inc.,CVE,6.1,Energy,Oil & Gas,Crude Petroleum Extraction(211120),,,
600,Centamin plc. Ord,CEE,,nan,nan,nan,,,
601,Centerra Gold Inc.,CG,13.65,Basic Materials,Metals & Mining,Gold Ore Mining(212221),,,
602,Centric Health J,CHH,0.215,Healthcare,Healthcare Providers & Services,General Medical and Surgical Hospitals(622110),,,
603,Century Glbl Cmdty J,CNT,0.08,Basic Materials,Metals & Mining,,,,
604,Cequence Energy Ltd.,CQE,0.145,Energy,Oil & Gas,Crude Petroleum Extraction(211120),,,
605,Ceres Global Ag Corp,CRP,2.38,Industrials,Business Services,Farm Product Warehousing and Storage(493130),,,
606,Ceridian HCM Hldg J,CDAY,98.33,Technology,Software,Software Publishers(511210),,,
607,Cervus Equipment,CERV,7.41,Industrials,Farm & Heavy Construction Machinery,Farm and Garden Machinery and Equipment Merchant Wholesalers(423820),,,
608,CES Energy Solutn,CEU,1.02,Energy,Oil & Gas,Support Activities for Oil and Gas Operations(213112),,,
609,CGI Inc. Cl A SV,GIB.A,87.39,Technology,Software,Custom Computer Programming Services(541511),,,
610,Champion Iron Ord J,CIA,2.61,Basic Materials,Metals & Mining,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing(327999),,,
611,Charlotte's Web Hldg,CWEB,7.54,Healthcare,Drug Manufacturers,Pharmaceutical Preparation Manufacturing(325412),,,
612,Charlotte's Web Wt,CWEB.WT,0.44,Healthcare,Drug Manufacturers,Pharmaceutical Preparation Manufacturing(325412),,,
613,Chartwell Retire Un,CSH.UN,8.09,Real Estate,REITs,Other Residential Care Facilities(623990),,,
614,Chemtrade Lgst 5% Db,CHE.DB.C,,nan,nan,nan,,,
615,Chemtrade Lgst4.75Db,CHE.DB.D,,nan,nan,nan,,,
616,Chemtrade Lgst5.25Db,CHE.DB.B,90.05,Basic Materials,Chemicals,All Other Basic Organic Chemical Manufacturing(325199),,,
617,Chemtrade Lgst6.5Deb,CHE.DB.E,,nan,nan,nan,,,
618,Chemtrade Logistc Un,CHE.UN,5.54,Basic Materials,Chemicals,All Other Basic Organic Chemical Manufacturing(325199),,,
619,Chesswood Group Ltd.,CHW,3.76,Financial Services,Credit Services,Other Activities Related to Credit Intermediation(522390),,,
620,China Gld Intl Res J,CGG,0.475,Basic Materials,Metals & Mining,Industrial Sand Mining(212322),,,
621,Choice Ppty REIT Un,CHP.UN,13.04,Real Estate,REITs,"Trusts, Estates, and Agency Accounts(525920)",,,
622,Chorus Aviation 6%Db,CHR.DB,,nan,nan,nan,,,
623,Chorus Aviation V&VV,CHR,2.9,Industrials,Transportation,Scheduled Passenger Air Transportation(481111),,,
624,Chorus Aviatn 5.75Db,CHR.DB.A,,nan,nan,nan,,,
625,CI 1st Asset CdnREIT,RIT,14.92,Financial Services,Asset Management,Portfolio Management(523920),,,
626,CI 1st Asset ConvBnd,CXF,8.88,,,,,,
627,CI 1st Asset EU Un,FHB,4.76,,,,,,
628,CI 1st Asst GlbAlloc,CGAA,20.14,,,,,,
629,CI 1st Asst InvBndUn,FIG,11.25,Financial Services,Asset Management,Portfolio Management(523920),,,
630,CI 1st Asst Pref Shr,FPR,17.3,,,,,,
631,CI 1st AsstInvBnd US,FIG.U,10.4,,,,,,
632,CI 1st AsstUS Buybac,FBU,26.0,,,,,,
633,CI 1st AstHlthCrCov,FHI,10.42,,,,,,
634,CI 1st AstIntlRskWgt,RWX,19.52,,,,,,
635,CI 1st AstMSCI CA Un,RWC,10.47,,,,,,
636,CI 1st AstUS MomntUn,YXM,13.94,,,,,,
637,CI 1st AstUSMmntUnhg,YXM.B,19.33,,,,,,
638,CI 1stAsst CoreCdnEq,CSY,17.35,,,,,,
639,CI 1stAsst MornDiv30,DXM,9.0,,,,,,
640,CI 1stAsstActvCADiv,FDV,8.85,,,,,,
641,CI 1stAst EnhGovBond,FGO,11.29,,,,,,
642,CI 1stAst EU UnhgUn,RWE.B,26.09,,,,,,
643,CI 1stAst GlbFinSctr,FSF,14.4,,,,,,
644,CI 1stAst Gld+Giants,CGXF,14.24,,,,,,
645,CI 1stAst InterstSvg,CSAV,,nan,nan,nan,,,
646,CI 1stAst MornIntlUn,ZXM,30.2,,,,,,
647,CI 1stAst MSCI EU Un,RWE,26.83,,,,,,
648,CI 1stAst1-5GvtBndUn,BXF,10.55,,,,,,
649,CI 1stAstCanBancIncm,CIC,9.21,,,,,,
650,CI 1stAstEngyGianCov,NXF,4.06,,,,,,
651,CI 1stAstEnhncSH Bnd,FSB,9.99,,,,,,
652,CI 1stAstIntlValUnhg,VXM.B,21.62,,,,,,
653,CI 1stAstMornCA Val,FXM,13.12,,,,,,
654,CI 1stAstMornUSValUn,XXM,7.6,,,,,,
655,CI 1stAstMSCI CAQual,FQC,22.5,,,,,,
656,CI 1stAstMSCI USA Un,RWU,16.26,,,,,,
657,CI 1stAstMSCI WrldUn,RWW,28.12,,,,,,
658,CI 1stAstTech Giants,TXF,16.62,,,,,,
659,CI 1stAstUS Div50 Un,UXM,13.45,,,,,,
660,CI 1stAstUS TrnLeadr,SID,24.04,,,,,,
661,CI 1stAstUS&CALifeco,FLI,7.5,,,,,,
662,CI DbleLnFixUS$HegC$,CCOR,,nan,nan,nan,,,
663,CI DbleLnFixUS$UnhC$,CCOR.B,,nan,nan,nan,,,
664,CI DbleLnFixUS$UnUSF,CCOR.U,,nan,nan,nan,,,
665,CI DbleLnTotUS$BndC$,CDLB,,nan,nan,nan,,,
666,CI DbleLnTotUS$BndUS,CDLB.U,,nan,nan,nan,,,
667,CI DbleLnUS$BondC$Uh,CDLB.B,,nan,nan,nan,,,
668,CI DbleLnUS$Incm USF,CINC.U,,nan,nan,nan,,,
669,CI DbleLnUS$IncmC$Hg,CINC,,nan,nan,nan,,,
670,CI DbleLnUS$IncmC$Uh,CINC.B,,nan,nan,nan,,,
671,CI Financial Corp.,CIX,16.44,Financial Services,Asset Management,Portfolio Management(523920),,,
672,CI Glb REIT PrivPlC$,CGRE,20.34,,,,,,
673,CI GlbInfrasPrivPl$C,CINF,20.26,,,,,,
674,CI GlbRlAsetPrivPlC$,CGRA,20.2,,,,,,
675,CI ICBCCS SPChi500NH,CHNA.B,26.8,,,,,,
676,CI LawrncPk InvCredt,CRED,,nan,nan,nan,,,
677,CI LawrncPk InvCreUS,CRED.U,,nan,nan,nan,,,
678,CI MarretAlt RetBond,CMAR,,nan,nan,nan,,,
679,CI MarretAltEnhYldC$,CMEY,,nan,nan,nan,,,
680,CI MarretAltRetBndUS,CMAR.U,,nan,nan,nan,,,
681,CI MarretEnhanYld U$,CMEY.U,,nan,nan,nan,,,
682,CI MunroAltGlbGrowUn,CMAG,21.47,,,,,,
683,CI One GlblEq ETF Un,ONEQ,24.02,,,,,,
684,CI One NA Core+Bond,ONEB,,nan,nan,nan,,,
685,CI Wisdom3EmrgMktDiv,EMV.B,23.06,,,,,,
686,CI Wisdom3IntlDvNn-H,IQD.B,24.77,,,,,,
687,CI Wisdom3USDvVaryHg,DQD,27.56,,,,,,
688,CI Wisdom3USMDivNnHg,UMI.B,22.63,,,,,,
689,CI WisdomCA QualDvNH,DGRC,25.8,,,,,,
690,CI WisdomTr JpnEqHeg,JAPN,19.69,,,,,,
691,CI WisdomTreeEU EqHG,EHE,22.08,,,,,,
692,CI WisdomTrEU EqN-Hg,EHE.B,21.73,,,,,,
693,CI WisdomTrIntlDivHG,IQD,25.5,,,,,,
694,CI WisdomTrJpnEqNnHg,JAPN.B,21.84,,,,,,
695,CI WisdomTrUS MdDvHg,UMI,20.23,,,,,,
696,CI WisdomTrUSDivGrHG,DGR,26.51,,,,,,
697,CI WisdomTrUSDivN-HG,DGR.B,28.71,,,,,,
698,CI YldEnhc CA Bnd NH,CAGG,51.84,,,,,,
699,CI YldEnhCA ST BndNH,CAGS,49.79,,,,,,
700,CI1st Asst LngDurFxd,FLB,22.18,,,,,,
701,CI1st AsstActvCredUn,FAO,8.35,,,,,,
702,CI1st AsstActvCredUS,FAO.U,8.37,,,,,,
703,CI1st AsstCA Buyback,FBE,19.78,,,,,,
704,CI1st AstActUtilInfr,FAI,11.44,,,,,,
705,CI1st AstIntlRskUnHg,RWX.B,19.9,,,,,,
706,CI1stAsst MrnMomntUn,WXM,18.23,,,,,,
707,CI1stAsstMrnstrNBkQC,QXM,18.05,,,,,,
708,CI1stAsstST GovBndCl,FGB,19.5,,,,,,
709,CI1stAst EnhGvtBndUS,FGO.U,11.31,,,,,,
710,CI1stAst IntlMomUnhg,ZXM.B,32.4,,,,,,
711,CI1stAstEgyGiaUnhgUn,NXF.B,4.83,,,,,,
712,CI1stAstEnhncShBndUS,FSB.U,10.05,,,,,,
713,CI1stAstHlthCr CovUH,FHI.B,11.39,,,,,,
714,CI1stAstMrnIntlValUn,VXM,19.79,,,,,,
715,CI1stAstMrnUS ValUhg,XXM.B,11.25,,,,,,
716,CI1stAstMSCI US Unhg,RWU.B,21.22,,,,,,
717,CI1stAstMSCI WrlUnhg,RWW.B,31.76,,,,,,
718,CI1stAstTecGiantUnHG,TXF.B,19.12,,,,,,
719,CI1stAstUSDv50UnhgUn,UXM.B,16.33,,,,,,
720,CIBC ActvInvCorpBond,CACB,21.42,,,,,,
721,CIBC ActvInvFltgBond,CAFR,19.92,,,,,,
722,CIBC FlexYldCA-Hg Un,CFLX,18.16,,,,,,
723,CIBC MltifactrUS HEG,CMUE.F,21.02,,,,,,
724,CIBC Multfactr US Eq,CMUE,22.22,,,,,,
725,CIBC Multifac Cdn Eq,CMCE,19.85,,,,,,
726,CIBT Education Grp J,MBA,0.5,Consumer Defensive,Education,Educational Support Services(611710),,,
727,Cineplex Inc.,CGX,13.9,Communication Services,Media - Diversified,Theater Companies and Dinner Theaters(711110),,,
728,Cipher Pharma J,CPH,1.26,Healthcare,Drug Manufacturers,Pharmaceutical Preparation Manufacturing(325412),,,
729,Citadel Incm Fund Un,CTF.UN,2.71,,,,,,
730,CIWisdom3IntlDvVarHg,DQI,24.18,,,,,,
731,Clairvest Group Inc,CVG,45.25,Financial Services,Asset Management,Portfolio Management(523920),,,
732,Clarke Inc 6.25 Db B,CKI.DB,,nan,nan,nan,,,
733,Clarke Inc.,CKI,4.91,Financial Services,Asset Management,Portfolio Management(523920),,,
734,Clean TeQ Hldg J Ord,CLQ,0.185,Industrials,Waste Management,Hazardous Waste Treatment and Disposal(562211),,,
735,ClearStream Energy,CSM,0.025,Energy,Oil & Gas,Support Activities for Oil and Gas Operations(213112),,,
736,Clearwater Seafoods,CLR,5.16,Consumer Defensive,Consumer Packaged Goods,Seafood Product Preparation and Packaging(311710),,,
737,CNOOC Limited ADRs,CNU,158.15,Energy,Oil & Gas,,,,
738,Cogeco Commun Inc SV,CCA,102.15,Communication Services,Telecommunication Services,Wireless Telecommunications Carriers (except Satellite)(517312),,,
739,Cogeco Inc. SV,CGO,85.65,Communication Services,Telecommunication Services,All Other Telecommunications(517919),,,
740,Colabor Group Inc.,GCL,0.38,Consumer Defensive,Retail - Defensive,General Line Grocery Merchant Wholesalers(424410),,,
741,Colabor Grp 6% Deb,GCL.DB.A,74.5,Consumer Defensive,Retail - Defensive,General Line Grocery Merchant Wholesalers(424410),,,
742,Colliers Intl Grp SV,CIGI,70.47,Real Estate,Real Estate,Nonresidential Property Managers(531312),,,
743,Columbus Gold Corp J,CGT,0.135,Basic Materials,Metals & Mining,Gold Ore Mining(212221),,,
744,Cominar Real Est Un,CUF.UN,7.76,Real Estate,REITs,Lessors of Other Real Estate Property(531190),,,
745,Commerce Split Cap,YCM,0.9,Financial Services,Asset Management,Open-End Investment Funds(525910),,,
746,Commerce Split I Pr,YCM.PR.A,4.9,Financial Services,Asset Management,Open-End Investment Funds(525910),,,
747,Commerce Split II Pr,YCM.PR.B,3.8,Financial Services,Asset Management,Open-End Investment Funds(525910),,,
748,Computer Modelling J,CMG,4.54,Technology,Software,Custom Computer Programming Services(541511),,,
749,Condor Gold plc J,COG,0.8,Basic Materials,Metals & Mining,,,,
750,Condor Petroleum J,CPI,0.5,Energy,Oil & Gas,Drilling Oil and Gas Wells(213111),,,
751,Conifex Timber Inc.,CFF,0.47,Basic Materials,Forest Products,Logging(113310),,,
752,Constellation Deb 1,CSU.DB,128.0,Technology,Software,Custom Computer Programming Services(541511),,,
753,Constellation Softwr,CSU,"1,511.77",Technology,Software,Custom Computer Programming Services(541511),,,
754,Co-operators Sr C Pr,CCS.PR.C,21.40,Financial Services,Insurance,Direct Property and Casualty Insurance Carriers(524126),,,
755,Copper Mountain J,CMMC,0.49,Basic Materials,Metals & Mining,"Copper, Nickel, Lead and Zinc Ore Mining(212230)",,,
756,Corby Spirit&Wine A,CSW.A,16.35,Consumer Defensive,Beverages - Alcoholic,Wineries(312130),,,
757,Corby Spirit&Wn B NV,CSW.B,14.60,Consumer Defensive,Beverages - Alcoholic,Wineries(312130),,,
758,Core Cdn Dividend Un,CDD.UN,4.39,Financial Services,Asset Management,Portfolio Management(523920),,,
759,Corus Entertnmnt B,CJR.B,3.24,Communication Services,Media - Diversified,Television Broadcasting(515120),,,
760,Corvus Gold Inc. J,KOR,3.31,Basic Materials,Metals & Mining,Gold Ore Mining(212221),,,
761,CounterPath Corp. J,PATH,4.61,Technology,Software,Software Publishers(511210),,,
762,CPI Card Group Inc.,PMTS,1.83,Industrials,Industrial Products,Other Commercial and Service Industry Machinery Manufacturing(333318),,,
763,Crescent Point Corp.,CPG,1.99,Energy,Oil & Gas,Support Activities for Oil and Gas Operations(213112),,,
764,Crescita Therpeutc J,CTX,0.62,Healthcare,Drug Manufacturers,Pharmaceutical Preparation Manufacturing(325412),,,
765,Crew Energy Inc.,CR,0.35,Energy,Oil & Gas,Crude Petroleum Extraction(211120),,,
766,CRH Medical Corp. J,CRH,2.64,Healthcare,Medical Devices & Instruments,Surgical and Medical Instrument Manufacturing(339112),,,
767,Crombie Real Est Un,CRR.UN,12.87,Real Estate,REITs,Lessors of Other Real Estate Property(531190),,,
768,Cronos Group Inc. J,CRON,8.94,Healthcare,Drug Manufacturers,Pharmaceutical Preparation Manufacturing(325412),,,
769,Crown Cap Partners J,CRWN,3.75,Financial Services,Credit Services,All Other Nondepository Credit Intermediation(522298),,,
770,Crown CapPart J 6%Db,CRWN.DB,nan,nan,nan,nan,,,
771,CT Rl Est Invest Un,CRT.UN,13.16,Real Estate,REITs,Lessors of Other Real Estate Property(531190),,,
772,CU Inc. Pr Ser 1,CIU.PR.A,21.21,Utilities,Utilities - Regulated,Natural Gas Distribution(221210),,,
773,CU Inc. Pr Ser 4,CIU.PR.C,10.25,Utilities,Utilities - Regulated,Natural Gas Distribution(221210),,,
774,Currency Exch Intl J,CXI,12.75,Financial Services,Capital Markets,Miscellaneous Intermediation(523910),,,
775,Cymbria Corp Cl A NV,CYB,45.24,Financial Services,Asset Management,Portfolio Management(523920),,,
776,Data Commun Mgt,DCM,0.135,Industrials,Business Services,All Other Business Support Services(561499),,,
777,D-Box Tech Inc. A J,DBO,0.045,Technology,Hardware,Other Electronic Component Manufacturing(334419),,,
778,Delta 9 Cannabis J,DN,0.51,Healthcare,Drug Manufacturers,Drugs and Druggists' Sundries Merchant Wholesalers(424210),,,
779,Delta9 Cannabis J Wt,DN.WT,nan,nan,nan,nan,,,
780,Delta9 CannabisJ WtA,DN.WT.A,0.085,Energy,Oil & Gas,Crude Petroleum and Natural Gas Extraction(211111),,,
781,Delta9 Cannabs 8.5Db,DN.DB,62.00,Healthcare,Drug Manufacturers,Drugs and Druggists' Sundries Merchant Wholesalers(424210),,,
782,Denison Mines Corp,DML,0.56,Energy,Other Energy Sources,Uranium-Radium-Vanadium Ore Mining(212291),,,
783,Descartes Systems,DSG,66.80,Technology,Software,Custom Computer Programming Services(541511),,,
784,DesjardinCA UnivBnd,DCU,20.92,,,,,,
785,DesjardinCaMltiCntrl,DFC,16.70,,,,,,
786,DesjardinDevexUS xCA,DFD,18.86,,,,,,
787,DesjardinEmrgMltFctr,DFE,15.22,,,,,,
788,Desjardins 1-5yrCorp,DCC,19.57,,,,,,
789,Desjardins 1-5yrGovt,DCG,19.62,,,,,,
790,Desjardins Cdn Pref,DCP,14.20,,,,,,
791,Desjardins CdnST Bnd,DCS,19.89,,,,,,
792,Desjardins RI CA Bnd,DRCU,21.74,,,,,,
793,Desjardins RI GblETF,DRFG,20.02,,,,,,
794,DesjardinsRI CA LwCO,DRMC,18.74,,,,,,
795,DesjardinsRI CA Mlti,DRFC,15.56,,,,,,
796,DesjardinsRI DevUSCA,DRFD,18.32,,,,,,
797,DesjardinsRI USAMult,DRFU,19.72,,,,,,
798,DesjardinsRI USLowCO,DRMU,23.11,,,,,,
799,DesjardinUSMultCntrl,DFU,23.55,,,,,,
800,Desjardn AltLN/SH Eq,DANC,21.26,,,,,,
801,DesjardnDevUS-CA CO2,DRMD,20.00,,,,,,
802,DesjardnRI MktLowCo2,DRFE,16.50,,,,,,
803,Digital ConsmrDiv Un,MDC.UN,nan,nan,nan,nan,,,
804,DIRTT Env Solution J,DRT,1.70,Industrials,Construction,Architectural Services(541310),,,
805,Div Growth Split Pr,DGS.PR.A,9.80,Financial Services,Asset Management,Portfolio Management(523920),,,
806,Div Growth Splt Cl A,DGS,3.25,Financial Services,Asset Management,Portfolio Management(523920),,,
807,Divers Rylty Corp.,DIV,1.77,Industrials,Conglomerates,Investment Banking and Securities Dealing(523110),,,
808,Diversif Rlty 5.25Db,DIV.DB,nan,nan,nan,nan,,,
809,Dividend 15 Splt A,DFN,4.72,Financial Services,Asset Management,Portfolio Management(523920),,,
810,Dividend 15 Splt Pr,DFN.PR.A,9.84,Financial Services,Asset Management,Portfolio Management(523920),,,
811,Dividend 15Split 2 A,DF,3.19,Financial Services,Asset Management,Portfolio Management(523920),,,
812,Dividend 15Splt 2 Pr,DF.PR.A,9.47,Financial Services,Asset Management,Portfolio Management(523920),,,
813,Dividend Select 15Eq,DS,6.03,Financial Services,Asset Management,Investment Banking and Securities Dealing(523110),,,
814,Docebo Inc. J,DCBO,26.00,Technology,Software,Software Publishers(511210),,,
815,Dollarama Inc.,DOL,47.98,Consumer Defensive,Retail - Defensive,Department Stores(452210),,,
816,Domtar Corporation,UFS,28.49,Basic Materials,Forest Products,Paper (except Newsprint) Mills(322121),,,
817,Dorel Ind Inc A MV,DII.A,5.56,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Upholstered Household Furniture Manufacturing(337121),,,
818,Dorel Ind Inc B SV,DII.B,5.17,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Upholstered Household Furniture Manufacturing(337121),,,
819,Dream Hrd AsetAlt Un,DRA.UN,4.60,Real Estate,REITs,"Trusts, Estates, and Agency Accounts(525920)",,,
820,Dream Industrl REIT,DIR.UN,10.10,Real Estate,REITs,Lessors of Other Real Estate Property(531190),,,
821,Dream Office REIT Un,D.UN,19.08,Real Estate,REITs,Lessors of Other Real Estate Property(531190),,,
822,DREAM Unltd Cl A SV,DRM,8.17,Real Estate,Real Estate,Other Activities Related to Real Estate(531390),,,
823,Dundee Corp 1st Pr 3,DC.PR.D,15.70,Consumer Defensive,Consumer Packaged Goods,Other Food Crops Grown Under Cover(111419),,,
824,Dundee Corp. Cl A SV,DC.A,1.20,Consumer Defensive,Consumer Packaged Goods,Other Food Crops Grown Under Cover(111419),,,
825,Dundee Corp. Pr 2,DC.PR.B,15.50,Consumer Defensive,Consumer Packaged Goods,Other Food Crops Grown Under Cover(111419),,,
826,Dundee Precious Mtl,DPM,7.33,Basic Materials,Metals & Mining,Gold Ore Mining(212221),,,
827,DXI Energy Inc J,DXI,0.02,Energy,Oil & Gas,Crude Petroleum Extraction(211120),,,
828,Dynacor Gold Mines J,DNG,1.76,Basic Materials,Metals & Mining,Gold Ore Mining(212221),,,
829,Dynamc ActInvestFltg,DXV,19.66,,,,,,
830,Dynamic ActGlbFinSrv,DXF,28.07,,,,,,
831,Dynamic ActUS MidCap,DXZ,8.39,,,,,,
832,Dynamic Actv GlblDiv,DXG,39.39,,,,,,
833,Dynamic Actv Pref Un,DXP,15.38,,,,,,
834,Dynamic ActvCA DivUn,DXC,22.82,,,,,,
835,Dynamic ActvCrossBnd,DXO,19.70,,,,,,
836,Dynamic ActvIntl Div,DXW,18.70,,,,,,
837,Dynamic ActvTact Bnd,DXB,21.52,,,,,,
838,Dynamic ActvUS DivUn,DXU,36.05,,,,,,
839,DynamicActvGlbInfras,DXN,16.68,,,,,,
840,E Split Corp. Cl A,ENS,12.70,Financial Services,Asset Management,Miscellaneous Financial Investment Activities(523999),,,
841,E Split Corp. Pr,ENS.PR.A,10.39,Financial Services,Asset Management,Miscellaneous Financial Investment Activities(523999),,,
842,East Coast InvGrd Un,ECF.UN,8.17,Financial Services,Asset Management,Miscellaneous Financial Investment Activities(523999),,,
843,Eastern Platinum J,ELR,0.23,Basic Materials,Metals & Mining,Gold Ore Mining(212221),,,
844,Eastmain Resources J,ER,0.12,Basic Materials,Metals & Mining,Gold Ore Mining(212221),,,
845,Echelon Fin Hldgs,EFH,5.75,Financial Services,Insurance,Direct Property and Casualty Insurance Carriers(524126),,,
846,ECN Capital 6.25% Pr,ECN.PR.C,18.30,Financial Services,Credit Services,Other Depository Credit Intermediation(522190),,,
847,ECN Capital 6.50% Pr,ECN.PR.A,18.20,Financial Services,Credit Services,Other Depository Credit Intermediation(522190),,,
848,ECN Capital Corp.,ECN,4.57,Financial Services,Credit Services,Other Depository Credit Intermediation(522190),,,
849,Economic Investment,EVT,99.19,,,,,,
850,EcoSynthetix Inc. J,ECO,2.14,Basic Materials,Chemicals,All Other Miscellaneous Chemical Product and Preparation Manufacturing(325998),,,
851,E-L Financial 1st Pr,ELF.PR.F,22.78,Financial Services,Insurance,Direct Life Insurance Carriers(524113),,,
852,E-L Financial Corp.,ELF,679.00,Financial Services,Insurance,Direct Life Insurance Carriers(524113),,,
853,E-L Financl 4.75 Pr2,ELF.PR.G,21.44,Financial Services,Insurance,Direct Life Insurance Carriers(524113),,,
854,E-L Financl 5.5 Pr 3,ELF.PR.H,23.42,Financial Services,Insurance,Direct Life Insurance Carriers(524113),,,
855,Eldorado Gold Corp.,ELD,11.615,Basic Materials,Metals & Mining,Gold Ore Mining(212221),,,
856,Electrovaya Inc.,EFL,0.265,Industrials,Industrial Products,Primary Battery Manufacturing(335912),,,
857,Element Fleet 4.25Db,EFN.DB.A,100.00,Industrials,Business Services,Portfolio Management(523920),,,
858,Element Fleet Mgt,EFN,9.60,Industrials,Business Services,Portfolio Management(523920),,,
859,Element Fleet Pr A,EFN.PR.A,21.00,Industrials,Business Services,Portfolio Management(523920),,,
860,Element Fleet Pr C,EFN.PR.C,20.18,Industrials,Business Services,Portfolio Management(523920),,,
861,Element Fleet Pr E,EFN.PR.E,19.02,Industrials,Business Services,Portfolio Management(523920),,,
862,Element Fleet Pr G,EFN.PR.G,21.51,Industrials,Business Services,Portfolio Management(523920),,,
863,Element Fleet Pr I,EFN.PR.I,20.85,Industrials,Business Services,Portfolio Management(523920),,,
864,Element Flt 4.25B Db,EFN.DB.B,nan,nan,nan,nan,,,
865,Emera Inc. Ser A Pr,EMA.PR.A,10.26,Utilities,Utilities - Regulated,Electric Power Distribution(221122),,,
866,Emera Inc. Ser B Pr,EMA.PR.B,10.19,Utilities,Utilities - Regulated,Electric Power Distribution(221122),,,
867,Emera Inc. Ser C Pr,EMA.PR.C,15.60,Utilities,Utilities - Regulated,Electric Power Distribution(221122),,,
868,Emera Inc. Ser E Pr,EMA.PR.E,20.54,Utilities,Utilities - Regulated,Electric Power Distribution(221122),,,
869,Emera Inc. Ser F Pr,EMA.PR.F,15.40,Utilities,Utilities - Regulated,Electric Power Distribution(221122),,,
870,Emera Inc. Ser H Pr,EMA.PR.H,24.50,Utilities,Utilities - Regulated,Electric Power Distribution(221122),,,
871,Emera Incorporated,EMA,54.63,Utilities,Utilities - Regulated,Electric Power Distribution(221122),,,
